Auction Title ,Auction Id,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
2 Computer Tables,80151,SCHOOL BOARD WAREHOUSE,1/22/2014,$25.01 ,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,1/30/2014,,SBS-6225A,,,3605137517,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
2 Computer Tables,80152,SCHOOL BOARD WAREHOUSE,1/22/2014,$25.01 ,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,1/30/2014,,SBS-6225B,,,3605137532,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
2 Computer Tables,80153,SCHOOL BOARD WAREHOUSE,1/22/2014,$29.01 ,$0.67 ,0.23,$6.67 ,$6.67 ,Successful,1/30/2014,,SBS-6225C,,,3605137542,"$3,000 ",$0.00 ,$22.33 ,Enterprise,0
2 Video Carts,80154,SCHOOL BOARD WAREHOUSE,1/22/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,1/23/2014,,SBS-6190,,,3604669770,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
"3 RCA 27"" Televisions",80155,SCHOOL BOARD WAREHOUSE,1/22/2014,$9.00 ,$0.21 ,0.23,$2.07 ,$2.07 ,Successful,1/22/2014,,SBS-6167A,,,3604564897,"$3,000 ",$0.00 ,$6.93 ,Enterprise,0
TV w/Cart,80156,SCHOOL BOARD WAREHOUSE,1/22/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,1/22/2014,,SBS-6187A,,,3604566059,"$3,000 ",$0.00 ,$0.77 ,Enterprise,0
TV w/Cart,80157,SCHOOL BOARD WAREHOUSE,1/22/2014,$4.00 ,$0.09 ,0.23,$0.92 ,$0.92 ,Successful,1/22/2014,,SBS-6187B,,,3604566662,"$3,000 ",$0.00 ,$3.08 ,Enterprise,0
TV Cart,80158,SCHOOL BOARD WAREHOUSE,1/22/2014,$12.69 ,$0.29 ,0.23,$2.91 ,$2.91 ,Successful,1/23/2014,,SBS-6218,,,3604669782,"$3,000 ",$0.00 ,$9.77 ,Enterprise,0
1 Pallet of Poster Board,80160,SCHOOL BOARD WAREHOUSE,1/22/2014,$42.13 ,$0.97 ,0.23,$9.68 ,$9.68 ,Successful,1/30/2014,,SBS-5643K,,,3605167377,"$3,000 ",$0.00 ,$32.44 ,Enterprise,0
Monitor w/Cart,80161,SCHOOL BOARD WAREHOUSE,1/22/2014,$4.50 ,$0.10 ,0.23,$1.03 ,$1.03 ,Successful,1/22/2014,,SBS-6189A,,,3604579860,"$3,000 ",$0.00 ,$3.46 ,Enterprise,0
Monitor w/Cart,80162,SCHOOL BOARD WAREHOUSE,1/22/2014,$4.50 ,$0.10 ,0.23,$1.03 ,$1.03 ,Successful,1/28/2014,,SBS-6189B,,,3605004548,"$3,000 ",$0.00 ,$3.46 ,Enterprise,0
Men's Diamond Watch,80171,DRUG TASK FORCE,1/22/2014,"$1,725.00 ",$0.00 ,0.23,$396.75 ,$396.75 ,Successful,1/22/2014,,TF-311-001,,,Cashiers Check,"$3,000 ",$0.00 ,"$1,328.25 ",Enterprise,0
Ladies Ring,80172,DRUG TASK FORCE,1/23/2014,$15.00 ,$0.34 ,0.23,$3.45 ,$3.45 ,Successful,1/23/2014,,TF-311-055,,,3604669810,"$3,000 ",$0.00 ,$11.55 ,Enterprise,0
Ladies Watch,80173,DRUG TASK FORCE,1/23/2014,$22.01 ,$0.51 ,0.23,$5.06 ,$5.06 ,Successful,1/23/2014,,TF-311-011,,,3604674572,"$3,000 ",$0.00 ,$16.94 ,Enterprise,0
1 Earring,80174,DRUG TASK FORCE,1/23/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/23/2014,,TF-311-019,,,3604669939,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
Ladies Watch,80176,DRUG TASK FORCE,1/27/2014,$33.00 ,$0.76 ,0.23,$7.59 ,$7.59 ,Successful,1/28/2014,,TF-311-025A,,,3605014278,"$3,000 ",$0.00 ,$25.41 ,Enterprise,0
10kt Watch and 2 10k Bracelets,80177,DRUG TASK FORCE,1/27/2014,"$1,184.99 ",$27.25 ,0.23,$272.54 ,$272.54 ,Successful,1/28/2014,,TF-311-028,,,3605014298,"$3,000 ",$0.00 ,$912.44 ,Enterprise,0
Diamond 'Rock Star' Pendant,80178,DRUG TASK FORCE,1/28/2014,"$3,725.00 ",$85.68 ,0.23,$856.75 ,$856.75 ,Successful,1/28/2014,,TF-311-002A,,,3604995687,"$3,000 ",$0.00 ,"$2,868.25 ",Enterprise,0
Radios & Equipment,80180,MDHA,1/23/2014,"$1,640.00 ",$37.72 ,0.23,$377.20 ,$377.20 ,Successful,1/23/2014,,MDHA-75890,,,3604647986,"$3,000 ",$0.00 ,"$1,262.80 ",Enterprise,0
