Auction Title ,Auction Id,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Assorted Kitchen Ware,79923,SCHOOL BOARD WAREHOUSE,1/6/2014,$89.56 ,$2.06 ,0.23,$20.60 ,$20.60 ,Successful,2/18/2014,,SBS-6215B,,,3606505439,"$3,000 ",$0.00 ,$68.96 ,Enterprise,0
Kitchen Ware,79927,SCHOOL BOARD WAREHOUSE,1/6/2014,$57.00 ,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,2/18/2014,,SBS-6215F,,,3606505460,"$3,000 ",$0.00 ,$43.89 ,Enterprise,0
Steamer,79933,SCHOOL BOARD WAREHOUSE,1/6/2014,$205.00 ,$4.72 ,0.23,$47.15 ,$47.15 ,Successful,2/18/2014,,SBS-6197,,,3606505480,"$3,000 ",$0.00 ,$157.85 ,Enterprise,0
Table w/Wheels,79953,NASHVILLE CONVENTION CTR,1/7/2014,$30.00 ,$0.69 ,0.23,$6.90 ,$6.90 ,Successful,2/18/2014,,NCC-75656,,,3606505498,"$3,000 ",$0.00 ,$23.10 ,Enterprise,0
Panasonic Color High Speed Scanner,79967,FINANCE,1/8/2014,$248.01 ,$5.70 ,0.23,$57.04 ,$57.04 ,Successful,2/18/2014,,73637,,,3606505520,"$3,000 ",$0.00 ,$190.97 ,General Fund,0
1 Box of Assorted Pen Lights,79972,PUBLIC LIBRARY,1/8/2014,$21.00 ,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,2/4/2014,,75565,,,3605508505,"$3,000 ",$0.00 ,$16.17 ,General Fund,0
"Vacant Land - 433 Roger Williams Avenue, Nashville, TN 37207",79975,PUBLIC PROPERTY,1/16/2014,"$7,601.00 ",$0.00 ,0.03,$228.03 ,$228.03 ,Successful,2/21/2014,,RPS-14014,,,Cashiers Check,$0 ,$0.00 ,"$7,372.97 ",General Fund,0
Kid Size CPU Desk,80002,METRO ACTION,1/9/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,2/5/2014,,MAC-74068,,,3605571334,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
2 Chairs,80005,METRO ACTION,1/9/2014,$3.00 ,$0.07 ,0.23,$0.69 ,$0.69 ,Successful,2/4/2014,,"MAC-74103, MAC-74157",,,3605507970,"$3,000 ",$0.00 ,$2.31 ,Enterprise,0
Chair,80007,METRO ACTION,1/9/2014,$3.00 ,$0.07 ,0.23,$0.69 ,$0.69 ,Successful,2/4/2014,,MAC-74100,,,3605508172,"$3,000 ",$0.00 ,$2.31 ,Enterprise,0
Dell Laptop,80016,ITS,1/9/2014,$43.00 ,$0.99 ,0.23,$9.89 ,$9.89 ,Successful,2/4/2014,,74559,,,3605508697,"$3,000 ",$0.00 ,$33.11 ,General Fund,0
Hamilton Music Stand,80020,NASHVILLE CONVENTION CTR,1/14/2014,$10.00 ,$0.23 ,0.23,$2.30 ,$2.30 ,Successful,2/12/2014,,NCC-75651,,,3606171274,"$3,000 ",$0.00 ,$7.70 ,Enterprise,0
21 Oxygen Regulators,80034,FIRE,1/14/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,2/18/2014,,75891,,,3606505532,"$3,000 ",$0.00 ,$20.79 ,General Fund,0
2 GM Transmission Cores,80045,OFM,1/14/2014,$42.00 ,$0.97 ,0.23,$9.66 ,$9.66 ,Successful,2/12/2014,,OFM-76218A,,,3606113381,"$3,000 ",$0.00 ,$32.34 ,Enterprise,0
2 GM Transmission Cores,80046,OFM,1/14/2014,$32.00 ,$0.74 ,0.23,$7.36 ,$7.36 ,Successful,2/12/2014,,OFM-76218B,,,3606113398,"$3,000 ",$0.00 ,$24.64 ,Enterprise,0
GM Transmission Core,80047,OFM,1/14/2014,$21.00 ,$0.00 ,0.23,$4.83 ,$4.83 ,Successful,2/12/2014,,OFM-76218C,,,Money Order,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
Sunglasses,80066,DRUG TASK FORCE,1/13/2014,$25.00 ,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,2/12/2014,,TF-311-033D,,,3606145056,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
Sunglasses,80068,DRUG TASK FORCE,1/13/2014,$33.00 ,$0.76 ,0.23,$7.59 ,$7.59 ,Successful,2/12/2014,,TF-311-033F,,,3606145066,"$3,000 ",$0.00 ,$25.41 ,Enterprise,0
Sunglasses,80070,DRUG TASK FORCE,1/13/2014,$88.00 ,$2.02 ,0.23,$20.24 ,$20.24 ,Successful,2/12/2014,,TF-311-033H,,,3606145932,"$3,000 ",$0.00 ,$67.76 ,Enterprise,0
Sunglasses w/ Case,80071,DRUG TASK FORCE,1/14/2014,$52.00 ,$0.00 ,0.23,$11.96 ,$11.96 ,Successful,2/5/2014,,TF-311-033I,,,Money Order,"$3,000 ",$0.00 ,$40.04 ,Enterprise,0
Dell Laptop w/Bag,80081,ITS,1/15/2014,$74.35 ,$1.71 ,0.23,$17.10 ,$17.10 ,Successful,2/4/2014,,74544,,,3605526330,"$3,000 ",$0.00 ,$57.25 ,General Fund,0
T-Mobile G1 Shells,80085,POLICE STATE FELONY FORFEITURE,1/16/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,2/4/2014,,PSFF-34-018,,,3605484967,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
T-Mobile G1 Shells,80088,POLICE STATE FELONY FORFEITURE,1/16/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/4/2014,,PSFF-34-017,,,3605484969,"$3,000 ",$0.00 ,$0.77 ,Enterprise,0
Cubby,80106,METRO ACTION,1/16/2014,$78.00 ,$1.79 ,0.23,$17.94 ,$17.94 ,Successful,2/13/2014,,MAC-74021C,,,3606185719,"$3,000 ",$0.00 ,$60.06 ,Enterprise,0
Ladies Sunglasses,80124,DRUG TASK FORCE,1/21/2014,$11.00 ,$0.00 ,0.23,$2.53 ,$2.53 ,Successful,2/5/2014,,TF-311-056B,,,Cashiers Check,"$3,000 ",$0.00 ,$8.47 ,Enterprise,0
Dell Laptop,80127,ITS,1/21/2014,$155.00 ,$3.56 ,0.23,$35.65 ,$35.65 ,Successful,2/17/2014,,75989,,,3606481109,"$3,000 ",$0.00 ,$119.35 ,General Fund,0
Dell Laptop,80133,ITS,1/21/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,2/4/2014,,75984,,,3605517585,"$3,000 ",$0.00 ,$40.04 ,General Fund,0
Dell Laptop,80134,ITS,1/21/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,2/4/2014,,75982,,,3605517604,"$3,000 ",$0.00 ,$40.04 ,General Fund,0
Dell Laptop,80135,ITS,1/21/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,2/4/2014,,75981,,,3605517614,"$3,000 ",$0.00 ,$47.74 ,General Fund,0
3 Apollo Projection Screens,80166,SCHOOL BOARD WAREHOUSE,1/22/2014,$27.50 ,$0.63 ,0.23,$6.33 ,$6.33 ,Successful,2/3/2014,,SBS-6148B,,,3605430521,"$3,000 ",$0.00 ,$21.18 ,Enterprise,0
Upright Piano,80167,SCHOOL BOARD WAREHOUSE,1/22/2014,$47.00 ,$1.08 ,0.23,$10.81 ,$10.81 ,Successful,2/3/2014,,SBS-6219,,,3605450583,"$3,000 ",$0.00 ,$36.19 ,Enterprise,0
Ladies Diamond Cluster Ring,80169,DRUG TASK FORCE,1/22/2014,$600.00 ,$0.00 ,0.23,$138.00 ,$138.00 ,Successful,2/11/2014,,TF-311-010,,,Money Order,"$3,000 ",$0.00 ,$462.00 ,Enterprise,0
Diamond Cluster Earrings,80170,DRUG TASK FORCE,1/22/2014,$320.00 ,$7.36 ,0.23,$73.60 ,$73.60 ,Successful,2/21/2014,,TF-311-018,,,3606791030,"$3,000 ",$0.00 ,$246.40 ,Enterprise,0
10Kt White Gold Diamond Chain,80175,DRUG TASK FORCE,1/27/2014,$775.00 ,$0.00 ,0.23,$178.25 ,$178.25 ,Successful,2/11/2014,,TF-311-002B,,,Cashiers Check,"$3,000 ",$0.00 ,$596.75 ,Enterprise,0
'Shrek' Diamond Pendant,80183,DRUG TASK FORCE,1/30/2014,"$1,725.00 ",$0.00 ,0.23,$396.75 ,$396.75 ,Successful,2/11/2014,,TF-311-005A,,,Cashiers Check,"$3,000 ",$0.00 ,"$1,328.25 ",Enterprise,0
10kt White Gold Diamond Chain,80190,DRUG TASK FORCE,1/30/2014,$965.00 ,$0.00 ,0.23,$221.95 ,$221.95 ,Successful,2/11/2014,,TF-311-005B,,,Cashiers Check,"$3,000 ",$0.00 ,$743.05 ,Enterprise,0
Necklace w/ 2 Heart Pendants,80191,DRUG TASK FORCE,1/30/2014,$68.00 ,$1.56 ,0.23,$15.64 ,$15.64 ,Successful,2/1/2014,,TF-311-015,,,3605319230,"$3,000 ",$0.00 ,$52.36 ,Enterprise,0
10kt White Gold Diamond Pendant,80192,DRUG TASK FORCE,2/3/2014,$565.00 ,$13.00 ,0.23,$129.95 ,$129.95 ,Successful,2/4/2014,,TF-311-007A,,,3605509551,"$3,000 ",$0.00 ,$435.05 ,Enterprise,0
10kt White Gold Foxtail Chain,80193,DRUG TASK FORCE,2/3/2014,$760.00 ,$0.00 ,0.23,$174.80 ,$174.80 ,Successful,2/6/2014,,TF-311-007B,,,Money Order,"$3,000 ",$0.00 ,$585.20 ,Enterprise,0
Men's Watch,80194,DRUG TASK FORCE,2/4/2014,$43.01 ,$0.99 ,0.23,$9.89 ,$9.89 ,Successful,2/4/2014,,TF-311-025D,,,3605509564,"$3,000 ",$0.00 ,$33.12 ,Enterprise,0
10kt White Gold Diamond Cross Pendant,80195,DRUG TASK FORCE,2/4/2014,$806.00 ,$0.00 ,0.23,$185.38 ,$185.38 ,Successful,2/6/2014,,TF-311-006,,,Money Order,"$3,000 ",$0.00 ,$620.62 ,Enterprise,0
Dell Laptop,80238,ITS,1/27/2014,$34.00 ,$0.78 ,0.23,$7.82 ,$7.82 ,Successful,2/17/2014,,70113,,,3606436692,"$3,000 ",$0.00 ,$26.18 ,General Fund,0
Dell Laptop,80239,ITS,1/27/2014,$35.51 ,$0.82 ,0.23,$8.17 ,$8.17 ,Successful,2/17/2014,,70112,,,3606436715,"$3,000 ",$0.00 ,$27.34 ,General Fund,0
Dell Laptop,80240,ITS,1/27/2014,$30.00 ,$0.69 ,0.23,$6.90 ,$6.90 ,Successful,2/17/2014,,70107,,,3606436727,"$3,000 ",$0.00 ,$23.10 ,General Fund,0
3 Metal File Racks,80243,DRUG TASK FORCE,1/27/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,2/4/2014,,TF-73035,,,3605526361,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
Rubbermaid Cart,80248,NASHVILLE CONVENTION CTR,1/27/2014,$32.00 ,$0.74 ,0.23,$7.36 ,$7.36 ,Successful,2/3/2014,,NCC-76379,,,3605450609,"$3,000 ",$0.00 ,$24.64 ,Enterprise,0
Metal Cart,80250,NASHVILLE CONVENTION CTR,1/27/2014,$3.02 ,$0.07 ,0.23,$0.69 ,$0.69 ,Successful,2/3/2014,,NCC-76480,,,3605450622,"$3,000 ",$0.00 ,$2.33 ,Enterprise,0
Mariani Cart,80251,NASHVILLE CONVENTION CTR,1/27/2014,$6.01 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,2/3/2014,,NCC-76465A,,,3605450632,"$3,000 ",$0.00 ,$4.63 ,Enterprise,0
Round Table,80258,NASHVILLE CONVENTION CTR,1/27/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,2/3/2014,,NCC-76415,,,3605430540,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Round Table,80259,NASHVILLE CONVENTION CTR,1/27/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,2/3/2014,,NCC-76481,,,3605430564,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Diamond Cross Pendant and Chain,80260,DRUG TASK FORCE,2/5/2014,$283.00 ,$0.00 ,0.23,$65.09 ,$65.09 ,Successful,2/11/2014,,TF-310-021,,,Cashiers Check,"$3,000 ",$0.00 ,$217.91 ,Enterprise,0
Diamond Mouse Pendant,80261,DRUG TASK FORCE,2/5/2014,$825.00 ,$0.00 ,0.23,$189.75 ,$189.75 ,Successful,2/6/2014,,TF-310-019B,,,Money Order,"$3,000 ",$0.00 ,$635.25 ,Enterprise,0
Burberry Purse,80263,DRUG TASK FORCE,1/28/2014,$41.00 ,$0.94 ,0.23,$9.43 ,$9.43 ,Successful,2/11/2014,,TF-311-036T,,,3606027063,"$3,000 ",$0.00 ,$31.57 ,Enterprise,0
15 DVD's,80265,DRUG TASK FORCE,1/28/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,2/26/2014,,TF-311-022D,,,3607192725,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
15 DVD's,80267,DRUG TASK FORCE,1/28/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,2/3/2014,,TF-311-022F,,,3605472840,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
16 DVD's,80268,DRUG TASK FORCE,1/28/2014,$13.00 ,$0.30 ,0.23,$2.99 ,$2.99 ,Successful,2/26/2014,,TF-311-022C,,,3607192747,"$3,000 ",$0.00 ,$10.01 ,Enterprise,0
Table,80272,NASHVILLE CONVENTION CTR,1/30/2014,$3.02 ,$0.07 ,0.23,$0.69 ,$0.69 ,Successful,2/26/2014,,NCC-74339,,,3607188455,"$3,000 ",$0.00 ,$2.33 ,Enterprise,0
Table,80273,NASHVILLE CONVENTION CTR,1/30/2014,$5.00 ,$0.12 ,0.23,$1.15 ,$1.15 ,Successful,2/26/2014,,NCC-74340,,,3607188469,"$3,000 ",$0.00 ,$3.85 ,Enterprise,0
Table,80274,NASHVILLE CONVENTION CTR,1/30/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/26/2014,,NCC-74370,,,3607188494,"$3,000 ",$0.00 ,$0.77 ,Enterprise,0
Table,80275,NASHVILLE CONVENTION CTR,1/30/2014,$5.01 ,$0.12 ,0.23,$1.15 ,$1.15 ,Successful,2/8/2014,,NCC-74341,,,3605865703,"$3,000 ",$0.00 ,$3.86 ,Enterprise,0
2 Crowd Control Posts,80277,NASHVILLE CONVENTION CTR,1/30/2014,$11.00 ,$0.25 ,0.23,$2.53 ,$2.53 ,Successful,2/25/2014,,NCC-74372,,,3607073754,"$3,000 ",$0.00 ,$8.47 ,Enterprise,0
Chair,80278,NASHVILLE CONVENTION CTR,1/30/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,2/2/2014,,NCC-74466,,,3605383632,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
Chair,80279,NASHVILLE CONVENTION CTR,1/30/2014,$4.00 ,$0.09 ,0.23,$0.92 ,$0.92 ,Successful,2/2/2014,,NCC-74467,,,3605383640,"$3,000 ",$0.00 ,$3.08 ,Enterprise,0
2 Rolling Office Chairs,80281,NASHVILLE CONVENTION CTR,1/30/2014,$13.51 ,$0.31 ,0.23,$3.11 ,$3.11 ,Successful,2/3/2014,,"NCC-74914, NCC-74915",,,3605438015,"$3,000 ",$0.00 ,$10.40 ,Enterprise,0
Piano Bench,80282,NASHVILLE CONVENTION CTR,1/30/2014,$29.00 ,$0.67 ,0.23,$6.67 ,$6.67 ,Successful,2/4/2014,,NCC-74465,,,3605488229,"$3,000 ",$0.00 ,$22.33 ,Enterprise,0
Desk,80284,WATER SERVICES,1/30/2014,$6.00 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,2/3/2014,,WS-74746,,,3605407317,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Table,80287,WATER SERVICES,1/30/2014,$6.12 ,$0.14 ,0.23,$1.41 ,$1.41 ,Successful,2/26/2014,,WS-74764,,,3607156281,"$3,000 ",$0.00 ,$4.71 ,Enterprise,0
Chair,80288,WATER SERVICES,1/30/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,2/17/2014,,WS-74750,,,3606436737,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
Round Table,80290,NASHVILLE CONVENTION CTR,1/30/2014,$9.00 ,$0.21 ,0.23,$2.07 ,$2.07 ,Successful,2/4/2014,,NCC-74456,,,3605526634,"$3,000 ",$0.00 ,$6.93 ,Enterprise,0
Round Table,80291,NASHVILLE CONVENTION CTR,1/30/2014,$9.00 ,$0.21 ,0.23,$2.07 ,$2.07 ,Successful,2/4/2014,,NCC-74459,,,3605526656,"$3,000 ",$0.00 ,$6.93 ,Enterprise,0
Round Table,80292,NASHVILLE CONVENTION CTR,1/30/2014,$6.00 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,2/26/2014,,NCC-74457,,,3607188533,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Round Table,80293,NASHVILLE CONVENTION CTR,1/30/2014,$9.00 ,$0.21 ,0.23,$2.07 ,$2.07 ,Successful,2/4/2014,,NCC-74458,,,3605526672,"$3,000 ",$0.00 ,$6.93 ,Enterprise,0
Round Table,80294,NASHVILLE CONVENTION CTR,1/30/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/26/2014,,NCC-74447,,,3607188562,"$3,000 ",$0.00 ,$0.77 ,Enterprise,0
Round Table,80295,NASHVILLE CONVENTION CTR,1/30/2014,$5.00 ,$0.12 ,0.23,$1.15 ,$1.15 ,Successful,2/26/2014,,NCC-74448,,,3607188745,"$3,000 ",$0.00 ,$3.85 ,Enterprise,0
2 Round Tables,80296,NASHVILLE CONVENTION CTR,1/30/2014,$6.45 ,$0.15 ,0.23,$1.48 ,$1.48 ,Successful,2/26/2014,,"NCC-74444, NCC-74446",,,3607188771,"$3,000 ",$0.00 ,$4.97 ,Enterprise,0
2 Round Tables,80297,NASHVILLE CONVENTION CTR,1/30/2014,$6.77 ,$0.16 ,0.23,$1.56 ,$1.56 ,Successful,2/26/2014,,"NCC-74449, NCC-74450",,,3607188821,"$3,000 ",$0.00 ,$5.21 ,Enterprise,0
2 Round Tables,80298,NASHVILLE CONVENTION CTR,1/30/2014,$6.17 ,$0.14 ,0.23,$1.42 ,$1.42 ,Successful,2/26/2014,,"NCC-74438, NCC-74439",,,3607188867,"$3,000 ",$0.00 ,$4.75 ,Enterprise,0
1992 Oldsmobile 88 Regal,80300,POLICE STATE DRUG FUND,1/30/2014,$410.00 ,$0.00 ,0.23,$94.30 ,$94.30 ,Successful,2/6/2014,,,,668044,Money Order,"$3,000 ",$145.00 ,$170.70 ,Enterprise,0
1988 Buick LeSabre,80301,POLICE STATE DRUG FUND,1/30/2014,$308.00 ,$0.00 ,0.23,$70.84 ,$70.84 ,Successful,2/4/2014,,,,681119,Cashiers Check,"$3,000 ",$145.00 ,$92.16 ,Enterprise,0
2004 Chevrolet Tahoe,80303,DRUG TASK FORCE,1/30/2014,"$5,050.01 ",$116.15 ,0.23,"$1,161.50 ","$1,161.50 ",Successful,2/5/2014,,TF-312-063,,1034794,3605641988,"$3,000 ",$0.00 ,"$3,888.51 ",Enterprise,0
2002 Nissan Altima,80304,DRUG TASK FORCE,1/30/2014,"$3,225.00 ",$74.18 ,0.23,$741.75 ,$741.75 ,Successful,2/1/2014,,TF-312-062,,639515,3605355075,"$3,000 ",$0.00 ,"$2,483.25 ",Enterprise,0
"JVC 42"" LCD Flat Screen TV",80305,DRUG TASK FORCE,2/3/2014,$230.01 ,$0.00 ,0.23,$52.90 ,$52.90 ,Successful,2/10/2014,,TF--312-001,,,Money Order,"$3,000 ",$0.00 ,$177.11 ,Enterprise,0
"LG 50"" Plasma Flat Screen TV",80306,DRUG TASK FORCE,2/3/2014,$360.00 ,$8.28 ,0.23,$82.80 ,$82.80 ,Successful,2/3/2014,,TF-312-018,,,3605429853,"$3,000 ",$0.00 ,$277.20 ,Enterprise,0
"Sony 46"" LCD Flat Screen TV",80307,DRUG TASK FORCE,2/3/2014,$241.00 ,$0.00 ,0.23,$55.43 ,$55.43 ,Successful,2/10/2014,,TF-312-040,,,Money Order,"$3,000 ",$0.00 ,$185.57 ,Enterprise,0
"Samsung 22"" LCD Flat Screen TV",80308,DRUG TASK FORCE,2/3/2014,$103.00 ,$2.37 ,0.23,$23.69 ,$23.69 ,Successful,2/4/2014,,TF-312-021,,,3605517596,"$3,000 ",$0.00 ,$79.31 ,Enterprise,0
Couch,80310,DRUG TASK FORCE,2/3/2014,$62.00 ,$0.00 ,0.23,$14.26 ,$14.26 ,Successful,2/10/2014,,TF-312-020,,,Money Order,"$3,000 ",$0.00 ,$47.74 ,Enterprise,0
Wooden Cabinet,80311,DRUG TASK FORCE,2/3/2014,$145.00 ,$0.00 ,0.23,$33.35 ,$33.35 ,Successful,2/10/2014,,TF-312-027,,,Cashiers Check,"$3,000 ",$0.00 ,$111.65 ,Enterprise,0
Table w/4 Chairs,80312,DRUG TASK FORCE,2/3/2014,$126.00 ,$2.90 ,0.23,$28.98 ,$28.98 ,Successful,2/3/2014,,TF-312-028,,,3605429872,"$3,000 ",$0.00 ,$97.02 ,Enterprise,0
6 Dining Chairs,80313,DRUG TASK FORCE,2/3/2014,$209.33 ,$0.00 ,0.23,$48.15 ,$48.15 ,Successful,2/3/2014,,TF-312-029,,,Cashiers Check,"$3,000 ",$0.00 ,$161.18 ,Enterprise,0
"2 JL Audio W7 13"" Subwoofers",80315,DRUG TASK FORCE,2/3/2014,$630.89 ,$0.00 ,0.23,$145.10 ,$145.10 ,Successful,2/3/2014,,TF-312-025,,,Cashiers Check,"$3,000 ",$0.00 ,$485.79 ,Enterprise,0
Large Mirror,80316,DRUG TASK FORCE,2/3/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,2/3/2014,,TF-312-026,,,3605429892,"$3,000 ",$0.00 ,$47.74 ,Enterprise,0
Small Louis Vuitton Duffel Bag,80318,DRUG TASK FORCE,2/3/2014,$490.00 ,$0.00 ,0.23,$112.70 ,$112.70 ,Successful,2/3/2014,,TF-312-061,,,Cashiers Check,"$3,000 ",$0.00 ,$377.30 ,Enterprise,0
Louis Vuitton Purse,80319,DRUG TASK FORCE,2/3/2014,$625.00 ,$14.38 ,0.23,$143.75 ,$143.75 ,Successful,2/3/2014,,TF-312-046A,,,3605427095,"$3,000 ",$0.00 ,$481.25 ,Enterprise,0
Zebco Fishing Pole,80324,DRUG TASK FORCE,2/3/2014,$11.00 ,$0.25 ,0.23,$2.53 ,$2.53 ,Successful,2/6/2014,,TF-312-030A,,,3605657969,"$3,000 ",$0.00 ,$8.47 ,Enterprise,0
Tiger Fishing Pole w/Zebco Reel,80325,DRUG TASK FORCE,2/3/2014,$25.01 ,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,2/6/2014,,TF-312-030B,,,3605657977,"$3,000 ",$0.00 ,$19.26 ,Enterprise,0
Nautica Suitcase,80326,DRUG TASK FORCE,2/3/2014,$41.69 ,$0.96 ,0.23,$9.59 ,$9.59 ,Successful,2/5/2014,,TF-312-053A,,,3605646689,"$3,000 ",$0.00 ,$32.10 ,Enterprise,0
Nautica Suitcase,80327,DRUG TASK FORCE,2/3/2014,$34.57 ,$0.80 ,0.23,$7.95 ,$7.95 ,Successful,2/10/2014,,TF-312-053B,,,3605918780,"$3,000 ",$0.00 ,$26.62 ,Enterprise,0
iPhone 5,80329,DRUG TASK FORCE,2/3/2014,$340.00 ,$0.00 ,0.23,$78.20 ,$78.20 ,Successful,2/11/2014,,TF-312-007,,,Money Order,"$3,000 ",$0.00 ,$261.80 ,Enterprise,0
Canon Digital Camera,80330,DRUG TASK FORCE,2/3/2014,$32.00 ,$0.74 ,0.23,$7.36 ,$7.36 ,Successful,2/6/2014,,TF-312-037,,,3605696928,"$3,000 ",$0.00 ,$24.64 ,Enterprise,0
Fur Coat,80331,DRUG TASK FORCE,2/3/2014,$330.00 ,$0.00 ,0.23,$75.90 ,$75.90 ,Successful,2/11/2014,,TF-312-047,,,Money Order,"$3,000 ",$0.00 ,$254.10 ,Enterprise,0
Canon Pixma Wireless Printer,80332,DRUG TASK FORCE,2/3/2014,$185.00 ,$4.26 ,0.23,$42.55 ,$42.55 ,Successful,2/6/2014,,TF-312-044,,,3605692616,"$3,000 ",$0.00 ,$142.45 ,Enterprise,0
Conair Steam Cleaner,80333,DRUG TASK FORCE,2/3/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,2/5/2014,,TF-312-058,,,3605608063,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
King Size Comforter Set,80334,DRUG TASK FORCE,2/3/2014,$140.02 ,$3.22 ,0.23,$32.20 ,$32.20 ,Successful,2/3/2014,,TF-312-055,,,3605432246,"$3,000 ",$0.00 ,$107.82 ,Enterprise,0
Toshiba Laptop,80335,DRUG TASK FORCE,2/3/2014,$155.00 ,$3.56 ,0.23,$35.65 ,$35.65 ,Successful,2/3/2014,,TF-312-002,,,3605437992,"$3,000 ",$0.00 ,$119.35 ,Enterprise,0
Apple MacBook,80336,DRUG TASK FORCE,2/3/2014,$98.00 ,$0.00 ,0.23,$22.54 ,$22.54 ,Successful,2/3/2014,,TF-312-038,,,Money Order,"$3,000 ",$0.00 ,$75.46 ,Enterprise,0
Thruster Kids Bike,80338,POLICE VEHICLE IMPOUND,2/4/2014,$29.00 ,$0.67 ,0.23,$6.67 ,$6.67 ,Successful,2/5/2014,,IM-111452,,,3605618821,"$3,000 ",$0.00 ,$22.33 ,General Fund,0
Roadmaster 18-speed Bike,80339,POLICE VEHICLE IMPOUND,2/4/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,2/6/2014,,IM-112305,,,3605692630,"$3,000 ",$0.00 ,$20.79 ,General Fund,0
10 Chairs,80340,NASHVILLE CONVENTION CTR,2/4/2014,$130.00 ,$0.00 ,0.23,$29.90 ,$29.90 ,Successful,2/11/2014,,NCC-74904,,,Cashiers Check,"$3,000 ",$0.00 ,$100.10 ,Enterprise,0
10 Chairs,80341,NASHVILLE CONVENTION CTR,2/4/2014,$99.00 ,$0.00 ,0.23,$22.77 ,$22.77 ,Successful,2/11/2014,,NCC-74903,,,Cashiers Check,"$3,000 ",$0.00 ,$76.23 ,Enterprise,0
10 Chairs,80342,NASHVILLE CONVENTION CTR,2/4/2014,$83.00 ,$0.00 ,0.23,$19.09 ,$19.09 ,Successful,2/11/2014,,NCC-74902,,,Cashiers Check,"$3,000 ",$0.00 ,$63.91 ,Enterprise,0
Round Table,80343,NASHVILLE CONVENTION CTR,2/4/2014,$8.00 ,$0.18 ,0.23,$1.84 ,$1.84 ,Successful,2/5/2014,,NCC-74445,,,3605608080,"$3,000 ",$0.00 ,$6.16 ,Enterprise,0
Round Table,80344,NASHVILLE CONVENTION CTR,2/4/2014,$11.00 ,$0.25 ,0.23,$2.53 ,$2.53 ,Successful,2/5/2014,,NCC-74443,,,3605608091,"$3,000 ",$0.00 ,$8.47 ,Enterprise,0
Bar Stool,80345,NASHVILLE CONVENTION CTR,2/4/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,2/25/2014,,NCC-74956,,,3607073784,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
